TMX,TMY,Tectonic Bedrock Age (MA),Interpreted Bedrock Age (MA),TMI,RTP,1VD,DGIR,AuSREM,Prox_Ultramafic Source,Prox_MajorCrustal,Prox_Fault,worms_mag_1km,worms_mag_4.6km,worms_mag_11km,worms_mag_50km,worms_grav_1km,worms_grav_4.6km,worms_grav_11km,worms_grav_50km,K_pct,Th_ppm,U_ppm,Ni_mine
13465000,-3385000,3010,3010,-111.2507477,-42.70824432,-0.054258198,-402.0313721,218.855,32560.89514,38887.25826,33554.79009,63.202147,26.639493,35.628693,31.622963,18.777382,28.540289,49.701497,54.124046,0.586878,10.861532,0.567702,0
13465000,-3390000,2420,2420,-118.0639114,-76.17740631,-0.122453362,-377.7072754,218.58,28665.49263,39440.3628,32003.13934,25.200677,35.064703,35.778662,31.975398,18.63909,25.276888,49.398304,54.00166,0.563929,10.190037,0.650963,0
13465000,-3395000,3010,3010,-8.096790314,-41.32983398,-0.065572135,-353.3121643,218.297,25121.00508,40154.22104,28165.84975,29.779391,37.330186,34.480089,32.315763,15.759364,17.337371,49.045807,53.878572,0.426513,9.585828,0.427041,0
13465000,-3400000,3010,3010,-113.2174683,-68.9342804,-0.163892299,-334.8124084,218.007,21993.19029,40768.64393,23520.87028,38.689744,35.948622,31.418005,32.635008,16.214284,19.39849,48.640991,53.771485,0.497321,8.521037,0.526217,0
13465000,-3405000,3010,3010,-160.5083618,-125.0865021,-0.234796777,-351.4973755,217.716,18214.4312,41473.88529,19056.4316,34.829454,30.681968,30.011113,32.92931,19.750408,22.779194,48.182083,53.698078,0.592573,8.065952,3.385829,0
13465000,-3410000,3010,2726,-99.91856384,-100.1967468,0.116361402,-367.5535889,217.376,14385.74306,42284.2445,14935.32162,36.053261,32.144944,34.358404,33.197358,20.997473,31.451813,47.67208,53.678175,0.592573,8.065952,3.385829,0
13465000,-3415000,3010,2726,-76.21611023,-42.83430481,0.027300367,-372.8730164,217.035,10855.84521,42683.03786,11526.05868,39.676166,39.532489,35.396803,33.439123,21.34554,34.734944,47.124864,53.735434,0.58157,7.57855,3.601236,0
13465000,-3420000,3010,2726,-73.06945038,-142.8017273,-0.080415457,-356.5639343,216.645,5864.066299,43136.10023,8586.611811,47.896257,41.349591,35.619368,33.65526,26.620975,36.789016,46.58701,53.899451,0.811534,8.062994,2.114709,0
13465000,-3425000,3010,2726,-177.9145203,-168.476059,-0.134489432,-346.834259,216.191,953.7046753,42399.0501,5672.482073,50.449899,41.959804,35.898549,33.846806,38.090241,40.400026,46.348554,54.207596,0.902122,8.894361,2.46241,0
13465000,-3430000,2960,2726,-174.5391846,-145.7762146,-0.014686341,-266.0440063,215.737,380.8596353,41727.99881,2804.020248,48.61414,43.596646,36.717341,34.014992,30.207163,40.416724,46.087454,54.703916,0.507944,7.438349,1.337629,0
13465000,-3435000,2960,2726,53.73833847,25.64125061,1.107640505,-251.176651,215.239,223.29889,41343.9227,432.1465985,49.581286,46.149638,37.662383,34.161124,27.258683,37.188996,44.963467,55.429224,0.447343,7.50026,0.964006,1
13465000,-3440000,3010,3010,26.16989326,-11.22056198,0.019670533,-282.0065002,214.735,1299.367292,40816.18707,3271.592458,48.314274,51.449704,37.455952,34.286507,26.119568,35.853025,40.924717,56.397343,0.469436,9.416782,0.956374,0
13465000,-3445000,3010,3010,102.6693878,-34.39517593,-0.29620707,-292.0333252,214.227,3693.616594,40476.24305,5995.393446,54.75045,58.750311,32.878779,34.392402,22.302799,35.816526,17.529435,57.568734,0.309639,10.504268,0.937835,0
13465000,-3450000,3010,3010,384.6408997,424.2872009,1.498863697,-286.4201965,213.709,6809.375271,40362.31898,8454.928448,55.781771,52.881922,36.196107,34.480003,23.414379,35.526758,18.844569,58.852839,0.309639,10.504268,0.937835,0
13465000,-3455000,3010,3010,145.1019592,295.2115479,0.119967051,-290.0443115,213.193,9440.728777,40242.44579,10739.35033,56.723782,51.815885,37.93956,34.55043,23.425317,34.549158,24.556397,60.147849,0.190873,10.484792,0.847171,0
